SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
43.00	get	TKPW-T	KET	"I also added in KEGT for ""getting"" (which overwrites ""context,"" for which I added in KAGT)."		How can you consider yourself civilized if your home doesn't KET (get) KET (Kentucky Educational Television)?		129				1 - NGSL	Top1K	43	80	3.000		5		3
43.01	got	TKPWOT	KED					130				5 - Derivative of NGSL Root Word	Top1K	43.01	81	3.000		6		3
43.02	gotta	TKPW*T	K*ED				"A commerical proclaims that ""the new Ford G-T (GT) is something you gotta have! It has 6 STARS (*) on Amazon!"""	131				5 - Derivative of NGSL Root Word	Top1K	43.02	82	4.000		6		5
43.03	gotten	TKPW*PB	K*ET			"If a PORCUPINE (*) has gotten inside your house, you'd better find a way to KET (get) him out of there! (KET is an addition for ""get."")"	"The town was terrorized for hours by a rabid PORCUPINE (*) who had somehow gotten a GN (gun). (TKPW-PB is the original outline for ""gun."")"	132				5 - Derivative of NGSL Root Word	Top1K	43.03	83	4.000		7		6
44.00	who	WHO						133				1 - NGSL	Top1K	44	84	3.000		3		3
44.01	whom	WHOPL						134				5 - Derivative of NGSL Root Word	Top1K	44.01	85	5.000		5		4
44.02	whose	WHOZ	WOS	WOS overwrites {^s would}.		"SPAIN (-S) is a country whose beaches WO (would) make even the most sullen person smile. (WO is an outline for ""would."")"	"L. Frank Baum was an author whose book about OZ was given a political interpretation, suggesting that it spoke about people in the WH (White House)."	135				5 - Derivative of NGSL Root Word	Top1K	44.02	86	3.000		4		5
45.00	like	HRAOEUBG	HR-P	"I also added in HR-PS for ""likes"" (which overwrites {^...}, for which I added in S*S, which overwrites ""Social Security,"" for which I added in SK*URT)."		More and more millenials seem to like LP records more than MP3s. Are they being ironic or genuine?		136				1 - NGSL	Top1K	45	87	3.000		8		4
46.00	when	WHE	WH-	"WH- ties in nicely with WH-T for ""when the""; WH-FR for ""whenever""; WH-S for ""when is""; SWHE for ""when she""; and even WH*D for ""when'd."" I also added in WHEU for ""when I""; WH*U for ""when you""; WH*E for ""when he""; WHOUR for ""when our""; and WHEUT for ""when it,"" which overwrites ""whit,"" for which I added in WH*EUT."		"When it's an election year, all of the U.S. becomes fixated on who will win the WH- (White House)."		137				1 - NGSL	Top1K	46	88	2.000		3		4
47.00	think	THEU		"I also added in THEUFG for ""thinking of""; THEUFD for ""thought of""; and THEUFS for ""thinks of."""				138				1 - NGSL	Top1K	47	89	4.000		4		5
47.01	thought	THAUT		"I also added in THAUFLT as an option for ""thoughtful,"" though THAUFL also works."	"I also added in THOUT as an alternate outline, although I prefer THAUT."			139				5 - Derivative of NGSL Root Word	Top1K	47.01	8A	5.000		5		7
48.00	make	PHAEUBG	PH-G	"PH-G overwrites ""milligram,"" for which I added in PHAUPL. I also added in PH*G for ""making"" and PH-GS for ""makes."" "		"MG (Mg) is the atomic symbol for magnesium. MG (magnesium) will let you make a fire when you're camping, so consider bringing a magnesium fire starter along on your next trip."		140				1 - NGSL	Top1K	48	8B	3.000		7		4
48.01	made	PHAED	PH-D	"PH-D overwrites ""PhD,"" for which I added in PA*EUFPD."		"Some medical students may think they'll have it made once they get their MD, but being a doctor is not a carefree profession. "		141				5 - Derivative of NGSL Root Word	Top1K	48.01	8C	3.000		5		4
49.00	time	TAOEUPL	T-PL	T-M	"If you use T-M for time, then you can also add in T-MS for ""times,"" but recognize that this would overwrite the outline for ""testimonies."" I inserted T*PLS for ""testimonies"" instead (as T*PL is testimony)."	"TM is a common abbreviation for trademarks. Unlike copyrights, TMs (trademarks) are not limited by time--as long as you renew them, you could have a trademark that lasts for thousands of years."		142				1 - NGSL	Top1K	49	8D	3.000		7		4
50.00	see	SAOE		"I like to use SAOEB for ""seen"" (although SAOEPB also works, of course)."				143				1 - NGSL	Top1K	50	8E	4.000		4		3
50.01	saw	SAU		"I also added in SAUZ for ""saws,"" which overwrites one way to write ""as the,"" for which I added in ATS, which overwrites one way to write ""at."""				144				5 - Derivative of NGSL Root Word	Top1K	50.01	8F	3.000		3		3
50.02	sees	SAO*ES	SAOES	"SAOES overwrites ""cease,"" for which I added in SAOEF."				145				5 - Derivative of NGSL Root Word	Top1K		90	5.000		6		4
51.00	what	WHA						146				1 - NGSL	Top1K	51	91	3.000		3		4
52.00	up	UP						147				1 - NGSL	Top1K	52	92	2.000		2		2
53.00	some	SOPL		"HRA overwrites ""la,"" for which I added in HRAO*U."				148				1 - NGSL	Top1K	53	93	4.000		4		4
54.00	other	OER						149				1 - NGSL	Top1K	54	94	3.000		3		5
55.00	out	OUT						150				1 - NGSL	Top1K	55	95	3.000		3		3
56.00	good	TKPWAOD	OD	"OD overwrites ""odd,"" for which I added in AOD. I use WOERT for ""better."" I also added in WOERPB for ""better than,"" which overwrites one way to write ""worn,"" and -BS for ""best."""		I find it rather OD (odd) that some people consider a frozen lake to be a good place to swim.		151				1 - NGSL	Top1K	56	96	2.000		7		4
57.00	people	PEPL	P-PL		P-PL overwrites one way to write a period.			152				1 - NGSL	Top1K	57	97	3.000		4		6
58.00	year	KWRAOER	KWR-R	"I also use KWR*R as an outline to represent the current year (e.g. 2020). I update this each year, and it's a nice little timesave. In addition, I added in KWR-RD for {^-year-old}."	"KWR-R originally maps to ""inquiry,"" but you can also write that using KW*R in the standard Plover dictionary."	"The start of a new year is a time for families to ask themselves, ""Y-R (why are) we doing things this way?"" and form resolutions for change."		153				1 - NGSL	Top1K	58	98	4.000		7		4
59.00	take	TAEUBG	T-G	"T-G overwrites ""-ing it."" I also added in T-GS for ""takes"" and T*G for ""taking."""		You do a double take when you see a herd of GOATS (-G) crossing an intersection in TOKYO (T-).		154				1 - NGSL	Top1K	59	99	2.000		6		4
59.01	took	TAOBG	T-GD	"T-GD is based on the addition of T-G for ""take."""				155				5 - Derivative of NGSL Root Word	Top1K	59.01	9A	3.000		5		4
59.02	taken	TAEPB				People injured in accidents are often taken to the ACCIDENT & EMERGENCY ROOM (AE).		156				5 - Derivative of NGSL Root Word	Top1K		9B	5.000		5		5
60.00	no	TPHO	AO	"AO overwrites ""oo."""		"When someone takes a nasty fall while skiing, some people say ""OO"" (ooh!), while others say ""No!"""		157				1 - NGSL	Top1K	60	9C	2.000		4		2
61.00	well	WEL						158				1 - NGSL	Top1K	61	9D	3.000		3		4
62.00	because	PWAUS	P-S	"P-S isn't the most intuitive of outlines, but I consider it at least somewhat intuitive because ""P"" by itself sounds a lot like ""B,"" and the outline also has an ""-S"" ending that's similar to the ending of ""because."""		"In a P-S (P.S.) section of a letter, a heartbroken lover writes: ""I do the things I do . . . because I love you."""		159				1 - NGSL	Top1K	62	9E	2.000		5		7
63.00	very	SRE		VE				160				1 - NGSL	Top1K	63	9F	3.000		3		4
64.00	just	SKWRUF	SKWR-	J-				161				1 - NGSL	Top1K	64	A0	4.000		6		4
65.00	come	KOPL						162				1 - NGSL	Top1K	65	A1	4.000		4		4
65.01	came	KAEUPL	KOPLD	"KOPLD is simply ""come"" with a -D ending."				163				5 - Derivative of NGSL Root Word	Top1K	65.01	A2	5.000		6		4
66.00	could	KO						164				1 - NGSL	Top1K	66	A3	2.000		2		5
66.01	couldn't	KOPBT	KO*	"KO* overwrites ""co"" (the word, not the prefix). The asterisk negates ""could"" and turns it into ""couldn't."""				165				5 - Derivative of NGSL Root Word	Top1K	2.27	A4	3.000		5		8
67.00	work	WORBG	W-BG	"W-K (overwites one way to write a comma). I also added in W*BG for ""working,"" though this overwrites ""white blood cell, and W-RBG for ""worker."" in addition, I added in W-BGD for ""worked,"" which overwrites one way to write ""welcome,"" and W-BGS for ""works,"" which overwrites one way to write ""welcomes."" "		No one should have to work for a WK (week) straight.		166				1 - NGSL	Top1K	67	A5	3.000		5		4
68.00	use	AOUS	AOUF	"AOUF overwrites one way to write ""you've"" (for which I added in *UF). It better corresponds to AOUFS for ""uses"" and AOUFD for ""used."" I also added in AOUFT for ""use the."""				167				1 - NGSL	Top1K	68	A6	4.000		4		3
69.00	than	THAPB	TA	"TA overwrites one way to write ""that."""		"""I don't love being a TA (Teacher's Assistant), but it's better than not having a job at all,"" a graduate student says to his friends."		168				1 - NGSL	Top1K	69	A7	2.000		5		4
70.00	now	TPHOU	OU	"OU overwrites one way to write ""ow."" (I added in O*U for ""oww."") "		OKLAHOMA (OU) has more people living in it now than it ever has before.		169				1 - NGSL	Top1K	70	A8	2.000		5		3
71.00	then	THEPB	TE			"""I was a TE (Tight End) for the Longhorns. My body was a little more muscular back then,"" a 70 year-old retiree says to you."		170				1 - NGSL	Top1K	71	A9	2.000		5		4
72.00	also	HR-S		L-S				171				1 - NGSL	Top1K	72	AA	3.000		3		4
73.00	into	TPHAO	EUT	"EUT overwrites one way to write ""it,"" which can also be written as T- . I also added in *EUT for ""into the,"" which overwrites ""IT,"" for which I added in AOEUPBT (as better options were taken)."		"It would be hard for an ELEPHANT (E) to fit into most of the buildings on UT's campus, except maybe the football stadium."		172				1 - NGSL	Top1K	73	AB	3.000		5		4
74.00	only	OEPBL	OEL	"I also added in TOELT for ""only the."""		"Although it's said that an ELEPHANT (E) never forgets, OL (even) an ELEPHANT (E) can only remember so much. (OL is an addition for ""even."")"		173				1 - NGSL	Top1K	74	AC	3.000		5		4
75.00	two	TWO		 perhaps perhaps perhaps and the perhaps perhaps last the perhaps perhaps				174				2 - Sup	Top1K		AD	3.000		3		3
76.00	look	HRAOBG	HR-BG	"HR-BG overwrites ""welcome,"" for which I added in HRABG, which overwrites ""lack,"" for which I added in HRAL."		A tourist ventures into the forest to take a look at some LK (elk).		175				1 - NGSL	Top1K	75	AE	4.000		6		4
77.00	want	WAPBT	WU			"""I want to spend the rest of my life W U (with you)"" is a very romantic thing to say—but make sure you mean it!"		176				1 - NGSL	Top1K	76	AF	2.000		5		4
78.00	give	TKPWEUF	KUF	"KUF overwrites ""cuff,"" for which I added in K*UF. I also added in both KUFP (which overwrites ""cusp,"" for which I added in K*UFP) and KUFPB for ""given,"" although KUFP is my preference because it's easier to write."		Rolling up your KUF-s (cuffs) gives you a hard-working appearance.		177				1 - NGSL	Top1K	77	B0	3.000		7		4
78.01	gave	TKPWAEUF	KUFD	"KUFD is based on the addition of KUF for ""give."" It overwrites ""cuffed,"" for which I added in K*UFD."				178				5 - Derivative of NGSL Root Word	Top1K	77.01	B1	4.000		8		4
79.00	first	TPEURS	-FRS			"A Scottish politician vows to break away from the UK and become the -FRS (Free Republic of Scotland), which she says would ensure that the needs of the Scottish people come first."	TPEURS (firs) rank first among all Christmas Trees. I love that smell.	179				1 - NGSL	Top1K	78	B2	3.000		6		5
80.00	new	TPHU		"I also added in TPHUFT for ""newest."""				180				1 - NGSL	Top1K	79	B3	4.000		4		3
81.00	way	WAEU						181				1 - NGSL	Top1K	80	B4	4.000		4		3
82.00	find	TPEUPBD	TPUF	"TPUF overwrites ""if you have,"" for which I added in TP*UF."		"It's always exciting to find a FU (few) FRENCH FRIES (-F) at the bottom of a fast food bag, isn't it? (TPU is an outline for ""few."")"		182				1 - NGSL	Top1K	81	B5	4.000		7		4
83.00	over	OEF		"I also added in OEFT for ""over the."""	OEFR	A couple celebrates the fact that their DEBT (OE) is over by . . . eating stale FRENCH FRIES (-F). They don't want to go back into debt.		183				1 - NGSL	Top1K	82	B6	3.000		3		4
84.00	any	TPHEU	APB	"APB overwrites one way to write ""an."""		"A PB sandwich and an APPLE (A) makes a fitting lunch for any student, regardless of their age."	"Remember Monty Python's knights who say ""TPHEU"" (NI)? They say ""NI"" in response to any statement, no matter what it is."	184				1 - NGSL	Top1K	83	B7	3.000		5		3
85.00	after	AF						185				1 - NGSL	Top1K	84	B8	2.000		2		5
86.00	day	TKAEU	TKA	"TKA overwrites ""da."""		"""It's a bad day to be a criminal in this town!"" a new D.A. (District Attorney) says after taking office."		186				1 - NGSL	Top1K	85	B9	3.000		5		3
87.00	where	W-R				"If you have trouble remembering that WR maps to ""were"" and W-R maps to ""where,"" here's a story for you: originally, W and R WR (were) right next to each other. But then the R wandered off to the other side of the board to form W-R (where), causing the W to say: ""where are you??"" "		187				1 - NGSL	Top1K	86	BA	2.000		2		5
88.00	thing	-GT		"Unofficial outline--but it actually works with Plover. Plover thinks you're trying to write ""the"" plus ""ing,"" and it shortens that into ""thing."" If you want to use -GT for ""thing,"" you may want to add it (along with -GTS for ""things"") into the dictionary just to make sure that Plover doesn't get confused."	THEUPBG			188				1 - NGSL	Top1K	87	BB	2.000		2		5
89.00	most	PHOFT	PHO	"PHO overwrites ""mo."""		A most intense debate erupts among investors as to whether or not it is ethical to invest in MO (the stock ticker for the Altria Group).	Most of an O (Octopus) is just legs. (This story is meant to help remind you that you don't need an E.)	189				1 - NGSL	Top1K	88	BC	3.000		5		4
90.00	should	SHO						190				1 - NGSL	Top1K	89	BD	3.000		3		6
90.01	shouldn't	SH-PBT	SHO*	"SHO* is based on SHO for ""should."" The asterisk negates the meaning of ""should"" and turns it into ""shouldn't."""			"If you're saying something you shouldn't, you'll surely hear an SH (shh) from someone. (SH maps to ""shh."")"	191				5 - Derivative of NGSL Root Word	Top1K	89.01	BE	4.000		5		9
91.00	need	TPHAED	TPHE	"I also added in TPHEG for ""needing."" This overwrites ""neglect,"" for which I added in KHREB. In addition,  I made TPHED ""needed."" This overwrites one way to write ""Ned,"" but you can also write that as TPH*ED. I also added in TPHELS for ""needless,"" which overwrites ""necessarily,"" for which I added in SAERL."		"If you live in the NE (Northeast), you'll need to buy a good snow shovel. "	"If you're in need of immediate medical attention for a life-threatening emergency, go to an ACCIDENT & EMERGENCY DEPARTMENT (AE)."	192				1 - NGSL	Top1K	90	BF	4.000		6		4
92.00	much	UFP						193				1 - NGSL	Top1K	91	C0	3.000		3		4
93.00	right	RAOEUT	R-B		ROEUT	"Your grandfather explains that he listens to R-B music because ""it just feels right."""		194				1 - NGSL	Top1K	92	C1	2.000		6		5
94.00	how	HOU						195				1 - NGSL	Top1K	93	C2	3.000		3		3
95.00	back	PWABG	ABG	"I also added in ABGS for ""backs,"" which overwrites ""axe,"" for which I added in A*BGS, which overwrites ""action,"" for which I added in AUPB. I also added in A*BG for ""backing,"" which overwrites ""Arkansas,"" for which I added in KA*R, which overwrites one way to write ""car."" In addition, I added in ABGD for ""backed,"" which overwrites one way to write ""acted."""		"""AK!"" (ack!) screams a kid when his brother drops a snowball down the back of his shirt."		196				1 - NGSL	Top1K	94	C3	3.000		5		4
96.00	mean	PHAOEPB	PHEP	"PHEP overwrites ""membership,"" for which I added in PHEBT."		"It would be pretty mean for your friend to assert that ""all the PINEAPPLES (-P) in your house belong to ME (me)!"""	Is there any animal that's meaner than a mosquito (AOE)? It mercilessly sucks out your own blood.	197				1 - NGSL	Top1K	95	C4	4.000		7		4
96.01	meaning	PHAOEPBG	PHEPG	"I also added in PHEPGS for ""meanings,"" which overwrites ""mention,"" for which I added in PH-FP."				198				5 - Derivative of NGSL Root Word	Top1K	95.01	C5	5.000		8		7
96.02	meant	PHEPBT	PHEPT or PHEPD					199				5 - Derivative of NGSL Root Word	Top1K	95.02	C6	5.000		6		5
97.00	even	AOEPB	EP	EP overwrites one way to write {epi^}.		"Even EP (El Paso, Texas) can get pretty cold in the winter, in part because of its elevation."		200				1 - NGSL	Top1K	96	C7	2.000		5		4
98.00	may	PHAE	PH-	"PH- overwrites ""pH,"" for which I added in PO*FP."		A individual tries out an ultra-strict diet that says that he may not drink any water that can doesn't have a PH (pH) of 7.0.		201				1 - NGSL	Top1K	97	C8	2.000		4		3
98.01	May	PHA*EU	PHAEU	"PHAEU overwrites ""may,"" for which I added in PH-, which overwrites ""pH,"" for which I added in PAUFP."				202				5.2 - Sup (no frequency data)	Top1K		C9	5.000		6		4
99.00	here	HAOER	H-R	"This addition is simply ""here"" with the vowels removed. It shouldn't be too difficult to remember after enough practice. I also added in H*R for ""here is"" (which overwrites ""heart rate,"" for which I added in HRAEUT, which overwrites ""late,"" for which I added in HRAT)."				203				1 - NGSL	Top1K	98	CA	2.000		5		4
100.00	many	PHAEPB 	PHA			"Many people apply for the MA (M.A.) in English at the University of Texas, making it a particularly difficult program to get accepted into."		204				1 - NGSL	Top1K	99	CB	3.000		7		4
101.00	such	SUFP	-FP	"I also added in -FPS for ""such as"" and -FPT for ""such a"" (which, according to N-Grams, is far more common than ""such the."" This outline embodies the ""-ch"" sound seen in words like ""such,"" so I consider it to be at least somewhat intuitive."		"CH (Switzerland) is such a beautiful country! (-FP makes a ""ch"" sound, and CH is an abbreviation for Switzerland.)"		205				1 - NGSL	Top1K	100	CC	2.000		4		4
102.00	last	HRAFT	-L	"I also added in *LG (which would normally produce {^ling}, which can also be written as HREUPBG) for ""lasting."" For ""lasts,"" you can use -LZ. "		You use mostly LASERS (-L) in one of the last levels of Goldeneye 64.		206				1 - NGSL	Top1K	101	CD	1.000		5		4
